name,price,socket_type,cooler_length,created_at
iHTP J8 ARGB,21000,"115X,2066,2011,1366,AMD4,AM2,2200",131.0,2026-05-21 09:29:27.587474
OH'S CV-420,21000,"1851,115X,AMD4,2400",148.0,2026-05-21 09:29:27.587474
앱코 타이폰 ST120X5,21000,"1851,1366,115X,AMD4,1800",158.0,2026-05-21 09:29:27.587474
3RSYS Socoool RC250 ARGB,21100,"115X,AMD4,2300",119.0,2026-05-21 09:29:27.587474
타무즈 T4-V4,21350,"1851,2066,2011,115X,1366,AMD4,1950",154.0,2026-05-21 09:29:27.587474
SNOWMAN MT4-SE ARGB 싸이번,21400,"115X,1366,1851,AMD4,1900",,2026-05-21 09:29:27.587474
마이크로닉스 MA420 스웰로우 ARGB,21400,"2011,115X,1851,AMD4,1800",153.0,2026-05-21 09:29:27.587474
PentaWave Z04E SRB ARGB,21500,"1851,AMD4,1950",157.0,2026-05-21 09:29:27.587474
조이쿨 X600 BW PWM,21580,"115X,1366,AMD4,AM2,1800",155.0,2026-05-21 09:29:27.587474
조이쿨 ITX39-4HEAT90,21580,"115X,2100",39.0,2026-05-21 09:29:27.587474
Thermalright Assassin X 120 Refined SE 서린,21900,"115X,AMD4,1550",148.0,2026-05-21 09:29:27.587474
JONSBO CR-1000 EVO AUTO RGB,21900,"1851,115X,AMD4,1500",154.0,2026-05-21 09:29:27.587474
JIUSHARK JF150RS Lily,21900,"115X,1851,AMD4,2200",135.0,2026-05-21 09:29:27.587474
발키리 AQ125 ARGB,21940,"1851,115X,AMD4,1800",152.0,2026-05-21 09:29:27.587474
쿨러마스터 Hyper 212 3DHP,21980,"115X,1851,AMD4,2050",158.0,2026-05-21 09:29:27.587474
LEADCOOL POONG AC-3100 ARGB,22000,"2011,1851,115X,2066,AM2,AMD4,1800",158.0,2026-05-21 09:29:27.587474
앱코 SUITMASTER 자이로스 X201 RGB,22000,"115X,2011,1366,AMD4,AM2,1800",158.0,2026-05-21 09:29:27.587474
ID-COOLING SE-214 XT V2 AUTO RGB 데이븐,22210,"1851,115X,AMD4,2000",152.0,2026-05-21 09:29:27.587474
MAXTILL MAX400,22240,"1851,1366,115X,AMD4,1600",150.0,2026-05-21 09:29:27.587474
3RSYS Socoool RC370 ARGB 램프리,22500,"115X,AMD4,1800",150.0,2026-05-21 09:29:27.587474
Thermalright Assassin X 120 Refined SE ARGB 서린,22790,"115X,AMD4,1550",148.0,2026-05-21 09:29:27.587474
조이쿨 XC90-36W,22890,"115X,1366,3000",36.0,2026-05-21 09:29:27.587474
ID-COOLING SE-214-XT 오토 RGB 데이븐,22890,"115X,1851,AMD4,1500",150.0,2026-05-21 09:29:27.587474
COOLLEO B40S DIG ARGB 3RSYS,22900,"1851,115X,AMD4,2200",129.0,2026-05-21 09:29:27.587474
PCCOOLER CPS RT400,22900,"115X,1851,AMD4,2200",152.0,2026-05-21 09:29:27.587474
Thermalright COGAGE IMPACT 120 서린,23000,"115X,AMD4,1550",148.0,2026-05-21 09:29:27.587474
JIUSHARK JF100 Crystal,23000,"115X,1851,AMD4,1500",157.0,2026-05-21 09:29:27.587474
타무즈 T4-V3 ARGB,23140,"1851,115X,2066,2011,AMD4,1600",154.0,2026-05-21 09:29:27.587474
LEADCOOL AC-3100 DIGITAL ARGB,23210,"115X,1366,1851,AMD4,1800",154.0,2026-05-21 09:29:27.587474
ID-COOLING SE-214-XT 데이븐,23280,"115X,1851,AMD4,1800",151.0,2026-05-21 09:29:27.587474
마이크로닉스 ICEROCK MA-500 ARGB,23400,"1851,115X,AMD4,2000",158.0,2026-05-21 09:29:27.587474
에디 CY100A ARGB,23460,"1851,115X,AMD4,2000",148.0,2026-05-21 09:29:27.587474
LEADCOOL POONG AC-2100 RAINBOW,23500,"2066,1851,115X,2011,AMD4,AM2,1800",158.0,2026-05-21 09:29:27.587474
인텔 Laminar RH1 벌크,23500,3000,69.0,2026-05-21 09:29:27.587474
조이쿨 XC90-39W,23580,"115X,3000",39.0,2026-05-21 09:29:27.587474
쿨러마스터 HYPER 411 NANO,23660,"1851,115X,AMD4,2500",136.0,2026-05-21 09:29:27.587474
3RSYS TEAMMOST RC800 ARGB,23710,"2011,115X,2066,AMD4,1500",156.0,2026-05-21 09:29:27.587474
