name,price,memory_type,memory_clock,created_at,bench_score
ADATA DDR5-6000 CL36 LANCER BLADE 블랙 파인인포,449000,DDR5,6000,2026-05-22 11:57:25.202677,20.1
G.SKILL DDR5-6400 CL32 TRIDENT Z5 RGB 화이트 패키지,453200,DDR5,6400,2026-05-22 11:57:25.202677,20.3
G.SKILL DDR4-3200 CL16 TRIDENT ZKW 패키지,458780,DDR4,3200,2026-05-22 11:57:25.202677,18.9
PATRIOT DDR5-4800 CL40 SIGNATURE,461290,DDR5,4800,2026-05-22 11:57:25.202677,13.4
PATRIOT DDR5-5200 CL42 SIGNATURE,465660,DDR5,5200,2026-05-22 11:57:25.202677,19.0
G.SKILL DDR4-3200 CL16 TRIDENT Z 패키지,468000,DDR4,3200,2026-05-22 11:57:25.202677,18.9
G.SKILL DDR4-3200 CL16 TRIDENT Z RGB 패키지,474990,DDR4,3200,2026-05-22 11:57:25.202677,18.9
G.SKILL DDR4-3600 CL18 TRIDENT Z RGB 패키지,478990,DDR4,3600,2026-05-22 11:57:25.202677,18.0
TeamGroup DDR5-4800 CL40 Elite Plus 실버 서린,495900,DDR5,4800,2026-05-22 11:57:25.202677,13.4
ADATA 노트북 DDR5-5600 CL46 코잇,500000,DDR5,5600,2026-05-22 11:57:25.202677,20.5
BIWIN DDR5-4800 CL40,500220,DDR5,4800,2026-05-22 11:57:25.202677,13.4
DLI DDR5-5600 CL46,501720,DDR5,5600,2026-05-22 11:57:25.202677,20.5
AGI DDR5-5600 CL46 UD238 서린,503780,DDR5,5600,2026-05-22 11:57:25.202677,20.5
G.SKILL DDR4-3600 CL16 TRIDENT Z NEO C 패키지,507990,DDR4,3600,2026-05-22 11:57:25.202677,20.1
삼성전자 DDR4-2666 ECC/REG,519800,DDR4,2666,2026-05-22 11:57:25.202677,15.7
ADATA DDR5-5600 CL46-45-45 파인인포,524170,DDR5,5600,2026-05-22 11:57:25.202677,20.5
PATRIOT DDR5-5600 CL46 SIGNATURE,525590,DDR5,5600,2026-05-22 11:57:25.202677,20.5
삼성전자 DDR5-4800 병행수입,528840,DDR5,4800,2026-05-22 11:57:25.202677,18.7
비즈텍 TREAVE DDR5-5600 CL46,530450,DDR5,5600,2026-05-22 11:57:25.202677,20.5
마이크론 Crucial 노트북 DDR5-5600 CL46,533410,DDR5,5600,2026-05-22 11:57:25.202677,20.5
PATRIOT DDR5-6400 CL52 SIGNATURE CUDIMM,534580,DDR5,6400,2026-05-22 11:57:25.202677,20.4
마이크론 Crucial 노트북 DDR5-5600 CL46 대원씨티에스,534790,DDR5,5600,2026-05-22 11:57:25.202677,20.5
TeamGroup T-CREATE 노트북 DDR5-5600 CL46-45-45 CLASSIC 서린,535000,DDR5,5600,2026-05-22 11:57:25.202677,20.5
