name,price,socket_type,memory_type,pcie_type,size,memory_clock,created_at
ASRock H810M-X 에즈윈,130320,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
GIGABYTE B760M DS3H D4 제이씨현,131400,1700,DDR4,PCIE4.0X16,MATX,5333.0,2026-04-20 15:30:38.871935
GIGABYTE H810M D2HX SI GEN5 제이씨현,131500,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASRock H810M-X 에즈윈 (벌크),131870,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASRock B550M Pro RS 디앤디컴,132860,AM4,DDR4,PCIE4.0X16,MATX,4733.0,2026-04-20 15:30:38.871935
ASRock H810M-X Gen5 디앤디컴 (벌크),132900,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
GIGABYTE H810M D2HX SI GEN5 피씨디렉트,132990,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASRock H810M-X Gen5 디앤디컴,133490,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
GIGABYTE B760M DS3H D4 피씨디렉트,134000,1700,DDR4,PCIE4.0X16,MATX,5333.0,2026-04-20 15:30:38.871935
ASUS EX B760M-V5 D4 코잇,134580,1700,DDR4,PCIE4.0X16,MATX,5333.0,2026-04-20 15:30:38.871935
ASRock B760M Pro-A 에즈윈 (벌크),134990,1700,DDR5,PCIE5.0X16,MATX,7200.0,2026-04-20 15:30:38.871935
GIGABYTE B760M DS3H GEN5 피씨디렉트,135040,1700,DDR5,PCIE5.0X16,MATX,7600.0,2026-04-20 15:30:38.871935
ASRock B760M Pro-A/D4 에즈윈,135450,1700,DDR4,PCIE4.0X16,MATX,5333.0,2026-04-20 15:30:38.871935
ASRock H810M-X 디앤디컴,136200,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASRock H810M-HDVP 디앤디컴,136290,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
