Bench_Name,Score
AMD EPYC 9B14,119505
AMD EPYC 9B45,158790
AMD EPYC 9D25,114275
AMD EPYC 9J14,124637
AMD EPYC 9R14,116475
AMD EPYC 9R45,6940
AMD EPYC 9V74,117606
AMD EPYC Embedded 7292P,30542
AMD EPYC Embedded 8224P,48869
AMD EPYC Embedded 9654P,116927
AMD EPYC Embedded 9755,164010
AMD FirePro A320 APU,2153
AMD FX-4100 Quad-Core,2628
AMD FX-4130 Quad-Core,2726
AMD FX-4150 Quad-Core,3327
AMD FX-4170 Quad-Core,3124
AMD FX-4200 Quad-Core,3119
AMD FX-4300 Quad-Core,2996
AMD FX-4320,3172
AMD FX-4330,3146
AMD FX-4350 Quad-Core,3195
AMD FX-6100 Six-Core,3697
AMD FX-6120 Six-Core,3883
AMD FX-6130 Six-Core,4353
AMD FX-6200 Six-Core,4114
AMD FX-6300 Six-Core,4230
AMD FX-6330 Six-Core,4433
AMD FX-6350 Six-Core,4663
AMD FX-670K Quad-Core,3046
AMD FX-7500 APU,1935
AMD FX-7600P,2557
AMD FX-7600P APU,2856
AMD FX-770K Quad-Core,3169
AMD FX-8100 Eight-Core,4095
AMD FX-8120 Eight-Core,4635
AMD FX-8140 Eight-Core,4860
AMD FX-8150 Eight-Core,5318
AMD FX-8300 Eight-Core,5330
AMD FX-8310 Eight-Core,5138
AMD FX-8320 Eight-Core,5474
AMD FX-8320E Eight-Core,5128
AMD FX-8350 Eight-Core,6090
AMD FX-8370 Eight-Core,6189
AMD FX-8370E Eight-Core,5352
AMD FX-870K Quad Core,3237
AMD FX-8800P,2818
AMD FX-9370 Eight-Core,6373
AMD FX-9590 Eight-Core,6827
AMD FX-9800P,2485
AMD FX-9830P,3306
AMD FX-B4150 Quad-Core,3369
AMD G-T40E,289
AMD G-T40N,298
AMD G-T40R,120
AMD G-T44R,116
AMD G-T48E,423
AMD G-T52R,177
AMD G-T56E,442
AMD G-T56N,484
AMD Geode NX,172
AMD Geode NX 1750,189
AMD Geode NX 2400+,400
AMD GX-210JA SOC,248
AMD GX-212JC SOC,636
AMD GX-217GA SOC,793
AMD GX-218GL SOC,754
AMD GX-222GC SOC,1044
AMD GX-412HC,1095
AMD GX-412TC SOC,650
AMD GX-415GA SOC,1407
AMD GX-416RA SOC,1604
AMD GX-420CA SOC,1785
AMD GX-420MC SOC,1796
AMD GX-424CC SOC,1823
AMD K7,262
AMD Opteron 1210,573
AMD Opteron 1210 HE,602
AMD Opteron 1212,593
AMD Opteron 1212 HE,791
AMD Opteron 1214,763
AMD Opteron 1214 HE,806
AMD Opteron 1216,781
AMD Opteron 1216 HE,727
AMD Opteron 1218,910
AMD Opteron 1218 HE,937
AMD Opteron 1220,1036
AMD Opteron 1222,1089
AMD Opteron 1352,1547
AMD Opteron 1354,1635
AMD Opteron 1356,1703
AMD Opteron 1381,1797
AMD Opteron 1385,2185
AMD Opteron 1389,2079
AMD Opteron 140,258
AMD Opteron 142,278
AMD Opteron 144,316
AMD Opteron 146,346
AMD Opteron 148,392
AMD Opteron 150,393
AMD Opteron 152,428
AMD Opteron 154,457
AMD Opteron 165,531
AMD Opteron 170,648
AMD Opteron 175,682
AMD Opteron 180,746
AMD Opteron 185,695
AMD Opteron 2212,826
AMD Opteron 2214,883
AMD Opteron 2214 HE,920
AMD Opteron 2216,987
AMD Opteron 2218,1036
AMD Opteron 2220,1106
AMD Opteron 2220 SE,909
AMD Opteron 2222,1198
AMD Opteron 2224 SE,1248
AMD Opteron 2350,1737
AMD Opteron 2354,1509
AMD Opteron 2356,1829
AMD Opteron 2373 EE,1744
AMD Opteron 2374 HE,1730
AMD Opteron 2376,1338
AMD Opteron 2378,1864
AMD Opteron 2380,1548
AMD Opteron 2384,2074
AMD Opteron 2386 SE,2074
AMD Opteron 2393 SE,1317
AMD Opteron 2419 EE,1902
AMD Opteron 2427,1995
AMD Opteron 2431,2894
AMD Opteron 2435,3061
AMD Opteron 246,411
AMD Opteron 248,310
AMD Opteron 250,422
AMD Opteron 252,494
AMD Opteron 254,451
AMD Opteron 256,626
AMD Opteron 265,626
AMD Opteron 270,736
