name,price,memory_type,memory_clock,created_at
ESSENCORE KLEVV DDR5-5600 CL30 FIT V 서린,334980,DDR5,5600,2026-04-15 11:20:26.806531
킹스톤 FURY 노트북 DDR5-5600 CL40 Impact 코잇,335000,DDR5,5600,2026-04-15 11:20:26.806531
ESSENCORE KLEVV DDR5-5600 CL30 FIT V WHITE 서린,335120,DDR5,5600,2026-04-15 11:20:26.806531
GeIL 노트북 DDR5-5600 CL46,335200,DDR5,5600,2026-04-15 11:20:26.806531
Apacer 노트북 DDR5-5600 CL46,336800,DDR5,5600,2026-04-15 11:20:26.806531
AGI 노트북 DDR5-5600 CL46 SD238 서린,337990,DDR5,5600,2026-04-15 11:20:26.806531
옵티머스 DDR5-5600 아인스시스템,338800,DDR5,5600,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR4-2666 중고,339000,DDR4,2666,2026-04-15 11:20:26.806531
ADATA DDR5-5600 CL46 ARMAX 서린,340200,DDR5,5600,2026-04-15 11:20:26.806531
ADATA DDR5-5600 CL46 코잇,341710,DDR5,5600,2026-04-15 11:20:26.806531
이메이션 DDR4-3200 CL22-22-22-52,346100,DDR4,3200,2026-04-15 11:20:26.806531
GUDGA DDR5-5600 CL46,347430,DDR5,5600,2026-04-15 11:20:26.806531
킹스톤 FURY DDR5-5600 CL36 Beast 블랙 병행수입,347610,DDR5,5600,2026-04-15 11:20:26.806531
옵티머스 DDR5-5600 Air 아인스시스템,347710,DDR5,5600,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR4-3200,348810,DDR4,3200,2026-04-15 11:20:26.806531
PNY DDR5-5600 CL40 Performance,349000,DDR5,5600,2026-04-15 11:20:26.806531
PATRIOT DDR5-6000 CL30 VIPER Elite 5 RGB,349350,DDR5,6000,2026-04-15 11:20:26.806531
TeamGroup DDR5-5200 CL42 Elite 서린,352500,DDR5,5200,2026-04-15 11:20:26.806531
CORSAIR DDR4-3200 CL16 VENGEANCE RGB PRO SL BLACK 패키지,354750,DDR4,3200,2026-04-15 11:20:26.806531
Terabyte Ramonster DDR5-4800,359000,DDR5,4800,2026-04-15 11:20:26.806531
ESSENCORE KLEVV DDR5-6400 CL52 CUDIMM 파인인포,359680,DDR5,6400,2026-04-15 11:20:26.806531
삼성전자 DDR4-2933,362400,DDR4,2933,2026-04-15 11:20:26.806531
에이서 DDR5-5600 CL46 UD200,368890,DDR5,5600,2026-04-15 11:20:26.806531
V-Color BLACK DDR5-5600 CL46 STANDARD 벌크,369000,DDR5,5600,2026-04-15 11:20:26.806531
ANACOMDA DDR5-5600 CL46 얼티메이크,370290,DDR5,5600,2026-04-15 11:20:26.806531
마이크론 Crucial DDR4-3200 CL22 PRO 패키지 대원씨티에스,370650,DDR4,3200,2026-04-15 11:20:26.806531
킹스톤 FURY DDR5-6000 CL30 Beast 블랙 코잇,371790,DDR5,6000,2026-04-15 11:20:26.806531
킹스톤 FURY DDR5-6000 CL30 Beast 화이트 코잇,376290,DDR5,6000,2026-04-15 11:20:26.806531
마이크론 Crucial 노트북 DDR4-3200 CL22,384770,DDR4,3200,2026-04-15 11:20:26.806531
ADATA DDR4-3200 CL22 파인인포,385000,DDR4,3200,2026-04-15 11:20:26.806531
CORSAIR DDR5-6000 CL36 VENGEANCE,385800,DDR5,6000,2026-04-15 11:20:26.806531
CORSAIR DDR5-6000 CL36 VENGEANCE RGB,385800,DDR5,6000,2026-04-15 11:20:26.806531
삼성전자 DDR5-6400 CL52 CUDIMM,389470,DDR5,6400,2026-04-15 11:20:26.806531
비즈텍 TREAVE 노트북 DDR4-3200 CL22,390450,DDR4,3200,2026-04-15 11:20:26.806531
비즈텍 TREAVE DDR4-3200 CL22,391470,DDR4,3200,2026-04-15 11:20:26.806531
G.SKILL DDR5-6000 CL36 RIPJAWS S5 블랙,395190,DDR5,6000,2026-04-15 11:20:26.806531
AGI DDR4-3600 CL18 TURBOJET UD848 RGB BLACK 서린,395270,DDR4,3600,2026-04-15 11:20:26.806531
삼성전자 DDR4-2400 ECC/REG,398800,DDR4,2400,2026-04-15 11:20:26.806531
삼성전자 DDR4-2400 ECC/REG 중고,398800,DDR4,2400,2026-04-15 11:20:26.806531
트랜센드 노트북 DDR5-6400 CL52 CSODIMM,400000,DDR5,6400,2026-04-15 11:20:26.806531
OLOy DDR4-3600 CL18 BLADE RGB Black 패키지,404000,DDR4,3600,2026-04-15 11:20:26.806531
마이크론 Crucial DDR5-6400 CL38 PRO Overclocking 대원씨티에스,406130,DDR5,6400,2026-04-15 11:20:26.806531
실리콘파워 DDR5-5600 CL46,408500,DDR5,5600,2026-04-15 11:20:26.806531
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 패키지,411070,DDR4,3600,2026-04-15 11:20:26.806531
ESSENCORE KLEVV 노트북 DDR4-3200 CL22 파인인포,412300,DDR4,3200,2026-04-15 11:20:26.806531
ESSENCORE KLEVV DDR4-3200 CL22 파인인포,413100,DDR4,3200,2026-04-15 11:20:26.806531
트랜센드 노트북 DDR4-3200 CL22,415110,DDR4,3200,2026-04-15 11:20:26.806531
타무즈 DDR4-3200 CL22,418410,DDR4,3200,2026-04-15 11:20:26.806531
트랜센드 DDR4-3200 CL22,418650,DDR4,3200,2026-04-15 11:20:26.806531
TeamGroup DDR4-3200 Elite 서린,418980,DDR4,3200,2026-04-15 11:20:26.806531
PATRIOT DDR4-3200 CL22 SIGNATURE,424000,DDR4,3200,2026-04-15 11:20:26.806531
ADATA DDR5-6000 CL36 LANCER BLADE 화이트 파인인포,428680,DDR5,6000,2026-04-15 11:20:26.806531
마이크론 Crucial DDR4-3200 CL22,434960,DDR4,3200,2026-04-15 11:20:26.806531
TeamGroup T-Force DDR4-3200 CL16-20-20 Delta RGB 화이트 패키지 서린,437290,DDR4,3200,2026-04-15 11:20:26.806531
Dreamware DDR3-1866 ECC Mac Pro,438581,DDR3,1866,2026-04-15 11:20:26.806531
TeamGroup T-Force DDR4-3200 CL16-20-20 Delta RGB 패키지 서린,438630,DDR4,3200,2026-04-15 11:20:26.806531
TeamGroup T-CREATE DDR4-3600 CL18 EXPERT OC10L 패키지 서린,439990,DDR4,3600,2026-04-15 11:20:26.806531
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 패키지,440000,DDR4,3200,2026-04-15 11:20:26.806531
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 화이트 패키지 서린,440000,DDR4,3200,2026-04-15 11:20:26.806531
TeamGroup T-Force DDR4-3200 CL16-20-20 Delta RGB 패키지,442990,DDR4,3200,2026-04-15 11:20:26.806531
타무즈 노트북 DDR4-3200 CL22,443500,DDR4,3200,2026-04-15 11:20:26.806531
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 화이트 패키지 서린,444870,DDR4,3600,2026-04-15 11:20:26.806531
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 패키지 서린,444880,DDR4,3600,2026-04-15 11:20:26.806531
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 화이트 패키지,445000,DDR4,3600,2026-04-15 11:20:26.806531
ADATA DDR5-6000 CL36 LANCER BLADE 블랙 파인인포,449000,DDR5,6000,2026-04-15 11:20:26.806531
SK하이닉스 노트북 DDR5-5600,480890,DDR5,5600,2026-04-15 11:20:26.806531
삼성전자 DDR4-2666 ECC/REG,497090,DDR4,2666,2026-04-15 11:20:26.806531
BIWIN DDR5-4800 CL40,500220,DDR5,4800,2026-04-15 11:20:26.806531
G.SKILL DDR4-3200 CL16 TRIDENT Z 패키지,507890,DDR4,3200,2026-04-15 11:20:26.806531
G.SKILL DDR4-3200 CL16 TRIDENT ZKW 패키지,507890,DDR4,3200,2026-04-15 11:20:26.806531
ADATA DDR5-5600 CL46-45-45 파인인포,524170,DDR5,5600,2026-04-15 11:20:26.806531
DLI DDR5-5600 CL46,530960,DDR5,5600,2026-04-15 11:20:26.806531
비즈텍 TREAVE DDR5-5600 CL46,531330,DDR5,5600,2026-04-15 11:20:26.806531
TeamGroup T-CREATE 노트북 DDR5-5600 CL46-45-45 CLASSIC 서린,535000,DDR5,5600,2026-04-15 11:20:26.806531
PATRIOT DDR5-5600 CL46 SIGNATURE,541640,DDR5,5600,2026-04-15 11:20:26.806531
AGI DDR5-5600 CL46 UD238 서린,547660,DDR5,5600,2026-04-15 11:20:26.806531
커널앤코어 DDR5-5600 CL46,548000,DDR5,5600,2026-04-15 11:20:26.806531
PATRIOT DDR5-5600 CL36 VIPER VENOM 패키지,548830,DDR5,5600,2026-04-15 11:20:26.806531
삼성전자 DDR4-2133 ECC/REG,550000,DDR4,2133,2026-04-15 11:20:26.806531
타무즈 DDR5-5600 CL46,552370,DDR5,5600,2026-04-15 11:20:26.806531
마이크론 Crucial 노트북 DDR5-5600 CL46,556090,DDR5,5600,2026-04-15 11:20:26.806531
삼성전자 DDR5-4800 병행수입,558650,DDR5,4800,2026-04-15 11:20:26.806531
G.SKILL DDR4-3200 CL16 TRIDENT Z RGB 패키지,559610,DDR4,3200,2026-04-15 11:20:26.806531
CORSAIR 노트북 DDR5-4800 CL40 VENGEANCE,560000,DDR5,4800,2026-04-15 11:20:26.806531
OLOy DDR5-5200 CL36 BLADE RGB BLACK 패키지 올로코리아,564890,DDR5,5200,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR5-4800 병행수입,565000,DDR5,4800,2026-04-15 11:20:26.806531
