Bench_Name,Score
aSsmnu gSS D48 0RP OeSirse,3676
ASSMNU GZMKV1W0TMHHL0-007L,17598
ASSMNU GZMKV5W21MHPJ0-001H,18451
ASSMNU GZMLV1B0TBHRL0-001H,20027
ASSMNU GZMLV1V82CHRG0-0000,3421
ASSMNU GZMLV2V65CHPH0-002L,6720
ASSMNU GZMLV2W65EHPH0-001H,16022
ASSMNU GZMLV120TCHRL0-B07L,23001
ASSMNU GZMPV2V65DHLG0-0000,11546
ASU800NS38-256GTS-C,4189
ASU800NS38-256GTS-SS-C,4050
ASU800NS38-512GTS-C,4457
ASU800SS-240GT-IT-B,4800
ASUS-JM S41 SSD,301
ASUS-PHISON SSD,98
AT422,3149
AT622,17310
AT MAX 120GB,2148
ATKSSDS120,2854
ATKSSDS128,3035
ATKSSDS256,3631
ATKSSDS512,3999
ATOM30,18389
ATP I-Temp. NVMe M.2 2280 SSD,20422
ATP NVMe M.2 2280 SSD,31927
ATP Velo city MIV 120GB,2844
ATP Velocity MV128GB,2664
ATP Velocity MV 128GB,2770
ATP Velocity SI Lite 32 GB,1453
Aura Pro X2,10925
Avant 240GB Client SSD,4114
Avant 480GB Client SSD,2199
Avant 500GB M.2 NVME,13335
Avant 512GB Client SSD,4195
Avant Client 60GB mSATA,2727
Avant Mobile 120GB SSD,1762
AVEXIR S100 SERIES - 120GB,3321
AVEXIR S100 SERIES - 240GB,3593
AVEXIR SSD V1 128G AVSSD3V1128G,1497
AVSSDE100ZZ-120GB,3434
AVSSDE100ZZ-240GB,3872
AVSSDS3E100Z-120GB,2145
AVSSDS3E100Z-240GB,2577
AVSSDS3E100Z-480GB,4236
AVSSDS3E 100Z-120GB,3969
AX3500 256GB,14572
AX3600 512GB,15741
AX5300 1000GB,20136
AXIOM 1TB,16548
Axiom 250GB,6056
AXIOM 500GB,12034
Axiom Signature III SSD,3295
Axisplus 32GB SSD,1524
AXM14S3-128GM-B,3268
AXNS381E-128GM-B,2419
AXNS381E-256GM-B,2717
AXPRO 120GB,4798
AXPRO 240GB,4284
AYSSDM2PXG41920,34411
BA HFS001TD9TNG-62A0A,11112
BA HFS256GD9TNG-62A0A,8787
BA HFS512GD9TNG-62A0A,9723
BARUN BMCXDGBNQSLSS1 128GB,2564
BASETECH A400 1TB PCIE3.0 SSD,20358
BASETECH A400 512GB PCIE3.0 SSD,17155
BBR128GNV3A,8329
BC501 NVMe SK hynix 128GB,5401
BC501 NVMe SK hynix 256GB,9036
BC501 NVMe SK hynix 512GB,9249
BC501A NVMe SK hynix 128GB,5860
BC511 NVMe SK hynix 256GB,9569
BC511 NVMe SK hynix 512GB,11160
BC901 NVMe SK hynix 256GB,19529
BC901 NVMe SK hynix 512GB,24072
BC901 NVMe SK hynix 1024GB,25587
BestBattery SSD,2291
Bestoss GM228 128GB,8121
Bestoss GM228 256GB,14502
Bestoss GM228 512GB,17903
Bestoss GM988 1TB,44218
Bestoss S201 1TB,3694
Bestoss S201 120GB,2924
Bestoss S201 240GB,2684
Bestoss S201 480GB,3337
Bestoss S201 512GB,2928
Bestoss S202 256GB,3612
Bestoss S202 480GB,3465
BestossGM228 1TB,17874
BG6 KIOXIA 256GB,23892
BG6 KIOXIA 512GB,28396
BG6 KIOXIA 1024GB,35002
BG6 SED KIOXIA 512GB,28531
BG7 KIOXIA 256GB,31317
BG7 KIOXIA 512GB,47001
BG7 KIOXIA 1024GB,50287
BHT WR202A1032G 6702,362
BHT WR202D0064G 670215F5,518
BHT WR202HH032G E70215F5,601
BHT WR202HH032G E70290F5,732
BHT WR202I0064G E70245F5,582
BHT WR202I0064G E70290F5,803
BICDATA SSD 256GB,2913
BiCS,1850
BIOSTAR G300-120GB,3361
BIOSTAR G300-480GB,4217
BIOSTAR G330-256GB,4876
BIOSTAR M500 1TB SSD,11200
BIOSTAR M700-1TB,12877
BIOSTAR M700-128GB,6191
BIOSTAR M700-256GB,8707
BIOSTAR M700-512GB,11886
BIOSTAR M760-512GB,16165
BIOSTAR S100-120GB,1603
BIOSTAR S100-128GB,3553
BIOSTAR S100-240GB,3778
BIOSTAR S100-240GB PLUS,3172
BIOSTAR S100-480GB,3756
BIOSTAR S100-480GB PLUS,3580
BIOSTAR S120-1TB,3478
BIOSTAR S120-256GB,3677
BIOSTAR S120-512GB,3805
BIOSTAR S130-120GB,1649
BIOSTAR S150-120G,2318
BIOSTAR S160-512GB,3781
BIWIN AP423 CE480T5D101-256G,13521
BIWIN AP423 CE480T5D101-512G,19646
BIWIN AP423 CE480TB8800-512G,21095
BIWIN AP423 CE480TC8800-1TB,22324
BIWIN AP423 CE480TC8800-128G,6989
BIWIN AP423 CE480TC8800-256G,13943
BIWIN AP423 CE480TC8800-512G,16785
BIWIN AP443 512GB SSD,16277
BIWIN AP443 CE480Y2D100-512G,18764
BIWIN AP803 2TB SSD,45950
BIWIN AP823 CE980T58900-512G,28860
BIWIN AP823 CE980TB8900-1TB,39813
BIWIN AP823 CE980TB8900-512G,28091
BIWIN BWU2ASV46A256G,4537
BIWIN BWU3AKC26C128G,5844
BIWIN CE480T5D101-256G,16194
BIWIN CE480T5D101-512,15922
BIWIN CE480T5D101-512G,18580
BIWIN CE480V6D10H-1TB,17633
BIWIN CE480V6D10H-512G,13880
BIWIN CE480V6D100-512G,16780
BIWIN CE480V6D101-128G,5989
BIWIN CE480Y2D100-1TB,20277
BIWIN CE480Y2D100-256G,9988
BIWIN CE480Y2D100-512G,18249
BIWIN CE980Y2D600-512G,24796
BIWIN CE980Y28900-1TB,34826
BIWIN CE980Y38900-1TB,47286
BIWIN CNF80V51G00-1TB,15268
BIWIN M220 1TB,21921
BIWIN M220 2TB,25093
BIWIN M350 1000GB,33772
BIWIN M350 2000GB,35450
BIWIN M350 4000GB,36834
BIWIN NA80H1M20-1TB,22893
BIWIN NA80H1M40-512G,31528
BIWIN NA80V1M10-512G,17962
BIWIN NA80V4M20-512G,17859
BIWIN NA80Y1M10-1TB,22034
BIWIN NA80Y1M10-256G,10907
BIWIN NA80Y1M10-512G,19273
BIWIN NB80V4M40-1TB,30370
BIWIN NI201 256GB,13535
BIWIN NV3500 1TB,21943
BIWIN NV3500 2TB,21876
BIWIN NV3500 512GB,19484
BIWIN NV7200 1TB,42692
BIWIN NV7200 2TB,41961
BIWIN NV7200 4TB,44589
BIWIN NV7400 1TB,38716
BIWIN NV7400 2TB,46086
BIWIN NV7400 4TB,51561
BIWIN SSD 1TB,14398
BIWIN SSD 16GB,974
BIWIN SSD 32GB,768
BIWIN SSD 60GB,1824
BIWIN SSD 128GB,3789
BIWIN SSD 256GB,9315
BIWIN SSD 480GB,3989
BIWIN SSD 500GB,11901
BIWIN SSD LN860 1TB,16870
BIWIN SSD LN860 512GB,22529
BIWIN SSD LN950 1TB,42626
BIWIN SSD LN960 1TB,47199
BIWIN SSD LN960 2TB,48606
BIWIN SSD LN960 512GB,41569
BIWIN X570 1TB,61568
BIWIN X570 2TB,62728
BIWIN X570 PRO 1TB,77388
BIWIN X570 PRO 2TB,86997
BIWIN X570 PRO 4TB,84886
Biwintech SSD SX500 256GB,3576
Biwintech SSD SX500 512GB,4220
BJ380 60GB,1807
BK4GZ0SN52G6N MV eIKXOAI2 65BG,7297
