name,price,recommended_power,pcie_type,gpu_length,created_at
GIGABYTE 지포스 RTX 5060 AERO OC D7 8GB 피씨디렉트,558190,550.0,PCIE5.0X16,281.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti WINDFORCE MAX OC D7 8GB 피씨디렉트,558200,650.0,PCIE5.0X16,208.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti WINDFORCE MAX OC D7 8GB 제이씨현,558760,650.0,PCIE5.0X16,208.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 RTX 5060 EX WHITE OC D7 8GB,559450,550.0,PCIE5.0X16,255.0,2026-04-20 15:27:56.166823
ZOTAC GAMING 지포스 RTX 5060 Ti Twin Edge OC D7 8GB,562800,,PCIE5.0X16,,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 EAGLE OC D7 8GB 피씨디렉트,564900,550.0,PCIE5.0X16,208.0,2026-04-20 15:27:56.166823
COLORFUL 지포스 RTX 5060 Ti GAMING DUO D7 8GB 도우정보,565000,600.0,PCIE5.0X16,200.0,2026-04-20 15:27:56.166823
COLORFUL 지포스 RTX 5060 Ti GAMING DUO D7 8GB 피씨디렉트,565140,600.0,PCIE5.0X16,200.0,2026-04-20 15:27:56.166823
MANLI 지포스 RTX 3060 Rush D6 12GB LHR 대원씨티에스,565500,,PCIE4.0X16,245.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 EAGLE MAX OC D7 8GB 피씨디렉트,567940,550.0,PCIE5.0X16,281.0,2026-04-20 15:27:56.166823
ASUS DUAL 지포스 RTX 5060 EVO OC D7 8GB 대원씨티에스,568170,550.0,PCIE5.0X16,225.0,2026-04-20 15:27:56.166823
PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,568240,,PCIE5.0X16,,2026-04-20 15:27:56.166823
COLORFUL 지포스 RTX 5060 Ti 토마호크 DUO D7 8GB 피씨디렉트,568770,600.0,PCIE5.0X16,231.0,2026-04-20 15:27:56.166823
액슬 지포스 RTX 3070 D6 8GB White 에즈윈,570820,650.0,,230.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 EAGLE MAX OC D7 8GB 제이씨현,570960,550.0,PCIE5.0X16,281.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 EAGLE OC ICE D7 8GB 제이씨현,571360,450.0,PCIE5.0X16,208.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 RTX 5060 BLACK OC V2 D7 8GB DUAL HDMI,574610,550.0,PCIE5.0X16,225.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 WINDFORCE OC D7 8GB 제이씨현,574890,450.0,PCIE5.0X16,199.0,2026-04-20 15:27:56.166823
PNY 지포스 RTX 5060 Ti OC D7 8GB Dual Fan STCOM,576330,600.0,PCIE5.0X16,245.0,2026-04-20 15:27:56.166823
SAPPHIRE 라데온 RX 7700 XT NITRO+ OC D6 12GB,580120,,PCIE4.0X16,320.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 GAMING OC D7 8GB 제이씨현,581950,450.0,PCIE5.0X16,281.0,2026-04-20 15:27:56.166823
SAPPHIRE 라데온 RX 9060 XT PULSE OC D6 8GB,583000,450.0,PCIE5.0X16,244.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 GAMING OC D7 8GB 피씨디렉트,583230,550.0,PCIE5.0X16,281.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 RTX 5060 BLACK OC V2 D7 8GB,583380,550.0,PCIE5.0X16,225.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti WINDFORCE OC D7 8GB 제이씨현,584000,650.0,PCIE5.0X16,208.0,2026-04-20 15:27:56.166823
갤럭시 GALAZ 지포스 RTX 5060 BLACK OC V2 D7 8GB,587950,550.0,PCIE5.0X16,225.0,2026-04-20 15:27:56.166823
MSI 지포스 RTX 5060 Ti 벤투스 2X OC 플러스 D7 8GB,588270,600.0,PCIE5.0X16,227.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti AERO OC D7 8GB 피씨디렉트,589180,650.0,PCIE5.0X16,281.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 RTX 5060 BLACK D7 8GB LP,589530,550.0,PCIE5.0X16,184.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 AERO OC D7 8GB 제이씨현,589540,450.0,PCIE5.0X16,281.0,2026-04-20 15:27:56.166823
PowerColor 라데온 RX 7700 XT D6 12GB White 대원씨티에스,589900,700.0,,274.0,2026-04-20 15:27:56.166823
MANLI 지포스 RTX 5060 TI Polar Fox OC D7 8GB 인텍앤컴퍼니,590000,,PCIE5.0X16,240.0,2026-04-20 15:27:56.166823
ASUS DUAL 라데온 RX 9060 XT D6 8GB 대원씨티에스,595000,550.0,PCIE5.0X16,202.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti WINDFORCE OC D7 8GB 피씨디렉트,595520,650.0,PCIE5.0X16,208.0,2026-04-20 15:27:56.166823
COLORFUL iGame 지포스 RTX 5060 ULTRA DUO OC White D7 8GB 피씨디렉트,598430,550.0,PCIE5.0X16,231.0,2026-04-20 15:27:56.166823
MANLI 지포스 RTX 5060 Ti Polar Fox OC D7 8GB 대원씨티에스,601900,,PCIE5.0X16,240.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 RTX 5060 BLACK OC D7 8GB DUAL HDMI,602420,550.0,PCIE5.0X16,225.0,2026-04-20 15:27:56.166823
XFX 라데온 RX 6600 SWFT 210 CORE D6 8GB,602940,500.0,PCIE4.0X16,241.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti EAGLE OC ICE D7 8GB 제이씨현,603200,650.0,PCIE5.0X16,215.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 Ti EAGLE OC D7 8GB 피씨디렉트,603220,650.0,PCIE5.0X16,215.0,2026-04-20 15:27:56.166823
