Bench_Name,Score
Intel Extreme Controller,1
Intel G33/G31 Express,31
Intel G35 Express,90
Intel G41 Express Chipset,152
Intel G41 Express-Chipsatz,57
Intel G45/G43 Express Chipset,147
Intel G45/G43/G41 Express Chipset,67
Intel G965 Express,195
Intel GMA 3150 Express,2
Intel Graphics,3195
Intel Haswell HD - GT1,123
Intel Haswell HD - GT2,139
Intel HD 500,301
Intel HD 505,361
Intel HD 510,622
Intel HD 515,636
Intel HD 520,859
Intel HD 530,988
Intel HD 610,671
Intel HD 615,687
Intel HD 630,1112
Intel HD 2000,213
Intel HD 3000,260
Intel HD 4000,341
Intel HD 4400,532
Intel HD 4600,632
Intel HD 4600 manual-gen9_2015-134121,652
Intel HD 5000,590
Intel HD 5200,830
Intel HD 5300,406
Intel HD 5500,596
Intel HD 5600,1868
Intel HD 6000,878
Intel HD Family,465
Intel HD Graphics 620,918
Intel HD manual-15.28-1861,62
Intel HD manual-gen9_2015-133271,165
Intel HD Modded,112
Intel HD P530,1154
Intel HD P630,1282
Intel HD P3000,281
Intel HD P4000,516
Intel HD P4600,505
Intel HD P4600/P4700,627
Intel Infoshock HD,193
Intel Iris 540,1275
Intel Iris 550,1462
Intel Iris 650,1432
Intel Iris 5100,731
Intel Iris 6100,901
Intel Iris Plus,1782
Intel Iris Plus 640,1361
Intel Iris Plus 645,1743
Intel Iris Plus 650,1596
Intel Iris Plus 655,1724
Intel Iris Pro 580,1966
Intel Iris Pro 5200,1176
Intel Iris Pro 6100,925
Intel Iris Pro Graphics 6200,1524
Intel Iris Pro P580,2025
Intel Iris Pro P6300,1591
Intel Iris Xe,2599
Intel Iris Xe MAX,1858
Intel Iris Xe MAX 100,1863
Intel Media Accelerator,32
Intel Media Accelerator 500,3
Intel Media Accelerator 600,6
Intel Media Accelerator 3150,2
Intel Media Accelerator HD,112
Intel Poison Ivy,738
Intel Q33 Express,6
Intel Q35 Embedded,8
Intel Q35 Express,56
Intel Q45/Q43 Express Chipset,200
Intel Q45/Q43 Express-Chipsatz,57
Intel Q965/Q963 Express,115
Intel Skylake HD DT GT2,576
Intel UHD 630,614
Intel UHD 770,1065
Intel UHD Graphics,1527
Intel UHD Graphics 600,311
Intel UHD Graphics 605,363
Intel UHD Graphics 610,683
Intel UHD Graphics 615,717
Intel UHD Graphics 617,816
Intel UHD Graphics 620,1041
Intel UHD Graphics 630,1227
Intel UHD Graphics 710,1049
Intel UHD Graphics 730,1542
Intel UHD Graphics 750,1685
Intel UHD Graphics 770,1905
Intel UHD Graphics P630,1754
Intel UHD Graphics P750,1669
Intel US15 Embedded Media and Controller,7
ION,108
ION LE,97
L4,10153
L4-1B,1263
L4-1Q,258
L4-2A,3063
L4-2B,1674
L4-2Q,4198
L4-4Q,4731
L4-6Q,4033
L4-8Q,7114
L20-8Q,24277
L40-8Q,7899
L40S,20022
L40S-1Q,2046
