Bench_Name,Score
Avant Technology W642GU42J2320NH 16GB,18.5
Avant Technology W642GU42J5213N2 16GB,16.2
Avant Technology W642GU42J5213N8 16GB,12.9
Avant Technology W642GU42J5213N 16GB,18.3
Avant Technology W642GU42J7240N8 16GB,16.3
Avant Technology W642GU42J9266N8 16GB,17.5
Avant Technology W642GU44J2320NC 16GB,19.5
Avant Technology W644GU44J2320NH 32GB,18.0
Avant Technology W6451U48J7240N6 4GB,14.7
Avant Technology W6451U66J5213ND 4GB,15.6
Avant Technology W6451U66J7240ND 4GB,15.6
Avant Technology W6451U66J9266ND 4GB,16.6
Avant Technology W6451U67J5213NB 4GB,14.4
Avant Technology W6451U67J7240NB 4GB,15.1
Avexir Technologies Corporation DDR4-2133 CL15 4GB 4GB,13.6
Avexir Technologies Corporation DDR4-2133 CL15 8GB 8GB,14.3
Avexir Technologies Corporation DDR4-2133 CL15 16GB 16GB,15.5
Avexir Technologies Corporation DDR4-2400 4GB CL16 4GB,15.6
Avexir Technologies Corporation DDR4-2400 8GB CL16 8GB,14.6
Avexir Technologies Corporation DDR4-2400 CL16 4GB 4GB,15.8
Avexir Technologies Corporation DDR4-2400 CL16 8GB 8GB,16.2
Avexir Technologies Corporation DDR4-2400 CL16 16GB 16GB,14.4
Avexir Technologies Corporation DDR4-2666 C17 4GB 4GB,16.6
Avexir Technologies Corporation DDR4-2666 CL15 4GB 4GB,16.8
Avexir Technologies Corporation DDR4-2666 CL15 8GB 8GB,17.4
Avexir Technologies Corporation DDR4-2666 CL17 4GB 4GB,17.0
Avexir Technologies Corporation DDR4-2666 CL17 8GB 8GB,15.9
Avexir Technologies Corporation DDR4-2800 CL15 4GB 4GB,17.7
Avexir Technologies Corporation DDR4-2800 CL15 8GB 8GB,16.6
Avexir Technologies Corporation DDR4-3000 CL15 4GB 4GB,17.3
Avexir Technologies Corporation DDR4-3000 CL15 8GB 8GB,17.6
Avexir Technologies Corporation DDR4-3000 CL16 4GB 4GB,16.7
Avexir Technologies Corporation DDR4-3000 CL16 8GB 8GB,18.5
Avexir Technologies Corporation DDR4-3000 CL17 8GB 8GB,16.3
Avexir Technologies Corporation DDR4-3200 C16 8GB 8GB,15.5
Avexir Technologies Corporation DDR4-3200 CL16 4GB 4GB,18.9
Avexir Technologies Corporation DDR4-3200 CL16 8GB 8GB,18.6
Avexir Technologies Corporation DDR4-3600 CL17 4GB 4GB,17.0
Avexir Technologies Corporation DDR4-3600 CL17 8GB 8GB,20.8
Avexir Technologies Corporation T 4GB,18.0
Avexir Technologies Corporation T-20181206 8GB,15.3
Boya Microelectronics Inc. AM52SE22G64AP-RQ 16GB,15.4
Boya Microelectronics Inc. AM52SE24G64AP-SQ 32GB,16.9
Carry Technology Co. Ltd. 4DCC3IOGE-MATP 8GB,14.4
Century Micro Inc. CENTURY JAPAN MEMORY 8GB,19.2
Chun Well Technology Holding Limited CL16-18-18 D4-2666 8GB,18.5
Chun Well Technology Holding Limited CL16-18-18 D4-3000 16GB,17.1
Chun Well Technology Holding Limited CL16-18-18 D4-3200 16GB,17.5
Chun Well Technology Holding Limited CL16-20-20 D4-3000 32GB,15.3
Chun Well Technology Holding Limited CL16-20-20 D4-3200 32GB,18.3
Chun Well Technology Holding Limited CL17-17-17 D4-2400 8GB,16.4
Chun Well Technology Holding Limited CL18-20-20 D4-3200 16GB,17.6
Chun Well Technology Holding Limited CL18-20-20 D4-3600 8GB,19.4
Chun Well Technology Holding Limited CL18-22-22 D4-3600 16GB,17.9
Chun Well Technology Holding Limited CL19-19-19 D4-2666 16GB,15.0
Chun Well Technology Holding Limited CL19-20-20 D4-3600 16GB,10.5
Chun Well Technology Holding Limited CL22-22-22 D4-3200 16GB,16.7
Chun Well Technology Holding Limited D4U0826190B 8GB,16.7
Chun Well Technology Holding Limited D4U0830160B 8GB,17.5
Chun Well Technology Holding Limited D4U0832160B 8GB,20.2
Chun Well Technology Holding Limited D4U0832161B 8GB,19.2
Chun Well Technology Holding Limited D4U0832220B 8GB,19.8
Chun Well Technology Holding Limited D4U0836144B 8GB,20.0
Chun Well Technology Holding Limited D4U0836181B 8GB,15.3
Chun Well Technology Holding Limited D4U0836182B 8GB,19.5
Chun Well Technology Holding Limited D4U1632160B 16GB,20.1
Chun Well Technology Holding Limited D4U1636144B 16GB,23.7
Chun Well Technology Holding Limited D4U1636180B 16GB,20.4
Chun Well Technology Holding Limited D4U1636181DC 16GB,15.8
Chun Well Technology Holding Limited D4U1640180B 16GB,19.5
Chun Well Technology Holding Limited D4U3232160B 32GB,15.7
Chun Well Technology Holding Limited MD4U0836165BCW 8GB,21.4
Chun Well Technology Holding Limited MD4U0840180BCW 8GB,18.2
Chun Well Technology Holding Limited MD4U1632160DCW 16GB,16.8
Chun Well Technology Holding Limited MD4U1632161DCW 16GB,17.9
Chun Well Technology Holding Limited MD4U1636181DCW 16GB,18.1
Chun Well Technology Holding Limited MD4U1636181DRKDE 16GB,22.8
Chun Well Technology Holding Limited MD4U3232160 32GB,19.1
Chun Well Technology Holding Limited ND4U0840180BRPDE 8GB,22.8
Chun Well Technology Holding Limited ND4U1636181DRLDE 16GB,19.4
Colorful Technology Ltd BA08G3200D4TP16 8GB,21.2
Colorful Technology Ltd BAPC08G2666D4S8 8GB,7.3
Colorful Technology Ltd CVPC16G3200D4R8 16GB,22.0
Corsair CM4B4G1J2400A14K 4GB,14.3
Corsair CM4B8G1J2400A16K2-O 8GB,17.8
Corsair CM4B8G1J2400A16K2-ON 8GB,18.3
Corsair CM4B8G1J2800K14K 8GB,17.4
Corsair CM4B8G1J3000K16W4 8GB,17.0
Corsair CM4B8G1L2666A18S4 8GB,11.4
Corsair CM4B8G2J2133A15S 8GB,15.6
Corsair CM4B8G2J2400A14K 8GB,16.4
Corsair CM4B8G2J2666A15D 8GB,16.7
Corsair CM4B8G2J3000K15K 8GB,16.4
Corsair CM4B8G4J2400A16K2-ON 8GB,18.3
Corsair CM4B8G7L2666A16K2-O 8GB,17.7
Corsair CM4B16G1J2400A16K2-O 16GB,17.6
Corsair CM4B16G1L3200K18K2 16GB,17.7
Corsair CM4B16G2L2666A18K2 16GB,17.6
Corsair CM4B16G4J2400A16K2-O 16GB,18.2
Corsair CM4B16G7L2666A16K2-O 16GB,17.9
Corsair CM4S16GL3200K18K2 16GB,20.8
Corsair CM4X4GD3000C15K4 4GB,17.7
Corsair CM4X4GD3000C16K2 4GB,19.6
Corsair CM4X4GF2133C13K4 4GB,15.4
Corsair CM4X4GF2133C15S2 4GB,17.3
Corsair CM4X4GF2400C14K4 4GB,16.3
Corsair CM4X4GF2400C16K4 4GB,17.0
Corsair CM4X4GF2400C16N2 4GB,13.5
Corsair CM4X4GF2400C16S2 4GB,14.5
Corsair CM4X4GF2400Z16K4 4GB,14.7
Corsair CM4X4GF2666C16K4 4GB,15.1
Corsair CM4X4GF2666Z16K4 4GB,11.4
Corsair CM4X4GF3000C15K4 4GB,18.0
Corsair CM4X8GC3000C15K4 8GB,19.6
Corsair CM4X8GD3000C15K4 8GB,18.5
Corsair CM4X8GD3000C16K4 8GB,16.6
Corsair CM4X8GD3000C16K4D 8GB,17.3
Corsair CM4X8GD3200C16K2E 8GB,19.7
Corsair CM4X8GD3200C16K4 8GB,18.9
Corsair CM4X8GD3600C18K2D 8GB,18.4
Corsair CM4X8GE2133C13K4 8GB,16.1
Corsair CM4X8GE2400C14K4 8GB,17.2
Corsair CM4X8GE2400C15K4 8GB,15.5
Corsair CM4X8GE2400C16K4 8GB,16.7
Corsair CM4X8GE2666C16K4 8GB,16.9
